Date,NW_EUROPE_EUR_MWH,S_EUROPE_EUR_MWH,EUROPE_EUR_MWH,LNG_BENCHMARK_EUR_MWH
2024-01-26,"26,93","27,10","26,99","-1,09"
2024-01-29,"26,67","26,80","26,81","-1,36"
2024-01-30,"26,67","26,89","26,85","-2,54"
2024-01-31,"26,64","26,91","26,76","-3,47"
2024-02-01,"27,16","27,39","27,14","-1,85"
2024-02-02,"28,42","28,93","28,28","-1,02"
2024-02-05,"28,43","28,94","28,29","-0,05"
2024-02-06,"27,13","27,66","27,13","-1,48"
2024-02-07,"26,80","27,66","26,81","-1,38"
2024-02-08,"26,81","27,01","26,83","-0,98"
2024-02-09,"26,80","27,00","26,83","-0,29"
2024-02-12,"26,81","26,42","26,67","0,94"
2024-02-13,"26,06","26,42","26,11","0,67"
2024-02-14,"25,97","26,01","26,02","1,17"
2024-02-15,"24,12","24,75","24,17","-0,79"
2024-02-16,"23,67","23,66","23,65","-1,17"
2024-02-19,"23,23","23,59","23,33","-0,38"
2024-02-20,"23,23","23,67","23,53","-0,64"
2024-02-21,"22,45","23,71","22,87","-1,10"
2024-02-22,"22,48","23,74","22,89","-0,30"
2024-02-23,"22,82","22,14","22,42","-0,51"
2024-02-26,"22,46","22,14","22,28","-1,73"
2024-02-27,"22,49","22,15","22,30","-2,09"
2024-02-28,"22,84","22,14","22,57","-3,05"
2024-02-29,"22,79","22,13","22,54","-2,33"
2024-03-01,"24,09","25,05","24,02","-1,79"
2024-03-04,"24,24","25,06","24,20","-2,69"
2024-03-05,"25,64","24,31","25,48","-1,99"
2024-03-06,"25,64","24,32","25,48","-1,09"
2024-03-07,"25,87","24,32","25,92","-0,07"
2024-03-08,"25,62","25,14","25,39","-1,00"
2024-03-11,"25,63","25,14","25,46","0,53"
2024-03-12,"25,26","25,14","25,22","0,44"
2024-03-13,"23,89","23,82","23,98","-0,93"
2024-03-14,"23,89","23,82","23,97","-2,08"
2024-03-15,"23,89","23,81","23,89","-3,13"
2024-03-18,"23,89","23,82","23,89","-4,93"
2024-03-19,"23,85","23,77","23,84","-5,02"
2024-03-20,"23,96","23,96","23,96","-3,78"
2024-03-21,"28,32","25,94","27,60","1,19"
2024-03-22,"26,05","25,78","26,05","-1,73"
2024-03-25,"26,20","25,86","26,13","-2,36"
2024-03-26,"26,45","26,73","26,58","-0,55"
2024-03-27,"26,95","26,73","26,94","-0,74"
2024-04-02,"27,38","27,39","27,21","1,01"
2024-04-03,"26,66","25,62","25,87","0,31"
2024-04-04,"25,18","25,23","25,20","-1,00"
2024-04-05,"25,17","25,40","25,28","-1,32"
2024-04-08,"25,21","25,44","25,35","-2,56"
2024-04-09,"26,32","26,42","26,20","-1,16"
2024-04-10,"26,32","26,42","26,19","-0,91"
2024-04-11,"26,33","27,09","26,96","-2,42"
2024-04-12,"26,33","27,12","26,99","-3,74"
2024-04-15,"26,33","28,70","28,60","-2,54"
2024-04-16,"30,80","29,88","30,28","-2,86"
2024-04-17,"32,10","31,37","31,31","0,02"
2024-04-18,"32,10","30,21","30,40","-1,91"
2024-04-19,"30,77","30,25","30,66","-0,10"
2024-04-22,"30,77","30,31","30,68","1,37"
2024-04-23,"30,77","28,90","30,16","1,75"
2024-04-24,"30,77","28,90","30,15","1,14"
2024-04-25,"30,77","28,25","28,82","-0,95"
2024-04-26,"29,17","28,45","28,99","0,10"
2024-04-29,"29,15","28,45","28,97","0,97"
2024-04-30,"29,15","28,45","27,79","-1,33"
2024-05-02,"30,01","28,77","28,78","-2,14"
2024-05-03,"28,91","28,77","28,54","-1,99"
2024-05-06,"28,91","28,77","28,53","-3,27"
2024-05-07,"28,91","28,77","28,53","-2,53"
2024-05-08,"28,93","28,79","28,55","-2,06"
2024-05-13,"30,35","30,24","30,20","0,63"
2024-05-14,"30,37","30,26","30,30","0,63"
2024-05-15,"30,37","30,27","30,30","0,56"
2024-05-16,"30,37","29,13","29,22","-1,03"
2024-05-17,"29,38","29,32","29,39","-1,38"
2024-05-21,"30,54","30,43","30,37","-2,63"
2024-05-22,"30,55","30,94","30,74","-3,65"
2024-05-23,"30,55","31,88","31,55","-3,68"
2024-05-24,"30,59","31,91","31,58","-2,54"
2024-05-27,"35,02","35,20","35,04","-0,20"
2024-05-28,"35,02","35,20","35,04","1,51"
2024-05-29,"35,02","35,27","35,10","1,22"
2024-05-30,"32,43","33,76","32,59","-2,60"
2024-05-31,"32,46","33,80","32,60","-1,62"
2024-06-03,"32,47","33,82","32,62","-3,40"
2024-06-04,"35,32","33,84","35,30","1,50"
2024-06-05,"35,50","34,63","35,22","1,86"
2024-06-06,"35,12","34,28","34,77","1,09"
2024-06-07,"33,97","33,77","33,79","0,69"
2024-06-10,"33,80","33,83","33,73","-0,53"
2024-06-11,"33,57","33,56","33,57","-0,72"
2024-06-12,"33,75","33,76","33,73","-1,57"
2024-06-13,"34,95","34,89","34,88","-0,85"
2024-06-14,"34,94","35,09","35,02","-0,34"
2024-06-17,"35,17","35,09","35,18","0,97"
2024-06-18,"35,08","35,09","35,09","0,39"
2024-06-19,"35,04","35,09","35,05","-0,29"
2024-06-20,"35,10","35,13","35,11","0,65"
2024-06-21,"35,10","35,13","35,12","1,19"
2024-06-24,"35,28","35,13","35,29","1,21"
2024-06-26,"35,28","35,13","35,29","1,47"
2024-06-27,"35,28","35,13","35,29","0,73"
2024-06-28,"35,28","35,13","35,29","0,81"
2024-07-01,"35,28","35,13","34,76","1,27"
2024-07-02,"34,96","35,13","34,92","1,23"
2024-07-03,"33,86","35,13","34,16","1,46"
2024-07-04,"33,45","33,72","33,71","0,46"
2024-07-05,"32,94","33,06","33,13","0,06"
2024-07-08,"32,94","33,02","33,07","0,79"
2024-07-09,"32,94","33,02","33,07","1,74"
2024-07-10,"32,48","32,32","32,35","1,57"
2024-07-11,"31,84","31,88","31,73","0,62"
2024-07-12,"30,77","31,48","30,84","-0,88"
2024-07-15,"30,77","31,92","31,16","-0,21"
2024-07-16,"30,77","32,15","31,83","-0,97"
2024-07-17,"30,80","32,12","31,87","-0,02"
2024-07-18,"31,91","32,48","31,96","-0,71"
2024-07-19,"31,89","32,39","31,98","-0,19"
2024-07-22,"32,12","32,39","32,13","0,29"
2024-07-23,"31,86","32,38","31,89","0,27"
2024-07-24,"31,87","32,41","31,90","-0,72"
2024-07-25,"32,76","32,47","32,73","0,96"
2024-07-26,"32,74","32,48","32,72","0,25"
2024-07-29,"31,86","32,48","31,87","-2,01"
2024-07-30,"31,88","32,48","31,89","-2,48"
2024-07-31,"34,28","32,48","34,41","-1,45"
2024-08-01,"34,87","32,48","34,72","-2,25"
2024-08-02,"34,88","32,48","36,01","-0,64"
2024-08-05,"36,33","32,48","36,33","0,83"
2024-08-06,"36,31","32,48","36,31","-0,36"
2024-08-07,"36,40","32,48","36,38","-2,07"
2024-08-08,"36,41","32,48","36,40","-3,69"
2024-08-09,"37,16","32,48","37,15","-3,25"
2024-08-12,"37,16","39,26","38,55","-1,11"
2024-08-13,"38,70","39,26","38,84","-0,64"
2024-08-14,"39,06","39,28","39,14","0,17"
2024-08-16,"39,05","39,30","39,13","-0,51"
2024-08-19,"38,97","39,00","39,00","-0,85"
2024-08-20,"39,24","39,34","39,37","1,41"
2024-08-21,"39,22","39,26","39,28","2,27"
2024-08-22,"37,02","37,32","37,43","0,84"
2024-08-23,"37,00","37,27","37,22","0,36"
2024-08-26,"37,27","37,49","37,53","-0,12"
2024-08-27,"37,27","37,48","37,52","-1,16"
2024-08-28,"38,21","37,52","38,21","-0,31"
2024-08-29,"38,21","37,53","38,21","-0,39"
2024-08-30,"38,21","37,50","38,21","-1,61"
2024-09-02,"38,21","37,50","38,57","-0,01"
2024-09-03,"38,56","37,50","38,66","1,46"
2024-09-04,"36,92","37,88","37,19","1,39"
2024-09-05,"36,47","37,88","36,58","0,39"
2024-09-06,"36,25","35,66","35,94","-0,54"
2024-09-09,"36,08","35,75","35,91","-1,42"
2024-09-10,"36,14","36,02","36,11","0,83"
2024-09-11,"36,08","35,97","36,08","-0,07"
2024-09-12,"36,25","34,74","35,11","-0,08"
2024-09-13,"36,16","34,73","35,08","-0,57"
2024-09-16,"36,29","34,74","35,12","1,04"
2024-09-17,"34,20","35,10","34,34","-1,20"
2024-09-18,"34,29","34,30","34,28","-0,96"
2024-09-19,"34,28","34,16","34,22","1,14"
2024-09-20,"34,07","34,16","34,10","-0,35"
2024-09-23,"33,06","32,92","33,22","-2,99"
2024-09-24,"33,07","34,30","34,30","-1,11"
2024-09-25,"35,30","34,62","34,94","-2,38"
2024-09-26,"35,38","35,24","35,34","-2,55"
2024-09-27,"36,17","35,85","35,86","-2,25"
2024-09-30,"36,02","35,84","35,85","-3,19"
2024-10-01,"36,40","36,94","36,88","-2,39"
2024-10-02,"36,76","37,09","37,01","-1,60"
2024-10-03,"38,16","38,29","38,23","-1,69"
2024-10-04,"37,82","37,61","37,79","-3,19"
2024-10-07,"38,70","38,56","38,64","-1,60"
2024-10-08,"38,83","38,68","38,78","-0,14"
2024-10-09,"38,89","38,70","38,91","0,56"
2024-10-10,"39,02","38,86","39,00","-1,29"
2024-10-11,"39,03","38,49","38,72","-1,16"
2024-10-14,"39,13","38,49","38,91","-1,64"
2024-10-15,"39,31","39,17","39,16","-0,81"
2024-10-16,"39,83","39,58","39,75","0,51"
2024-10-17,"39,83","39,59","39,76","0,10"
2024-10-18,"39,86","39,62","39,78","0,57"
2024-10-21,"39,85","39,61","39,77","-0,25"
2024-10-22,"39,03","38,55","38,94","-1,77"
2024-10-23,"39,04","38,81","39,06","-2,32"
2024-10-24,"39,24","39,01","39,25","-2,90"
2024-10-25,"39,27","39,01","39,27","-4,24"
2024-10-28,"41,14","39,01","41,07","-1,45"
2024-10-29,"41,55","39,01","41,48","-1,39"
2024-10-30,"41,54","42,33","41,89","0,98"
2024-10-31,"41,53","42,00","41,74","1,15"
2024-11-04,"41,13","37,08","37,68","-2,62"
2024-11-05,"39,76","37,77","38,57","-1,92"
2024-11-06,"39,76","38,62","38,90","-1,48"
2024-11-07,"39,64","38,54","39,02","-2,25"
2024-11-08,"39,51","38,84","39,29","-3,12"
2024-11-11,"40,42","40,37","40,23","-3,50"
2024-11-12,"40,43","40,38","40,23","-4,02"
2024-11-13,"42,49","42,58","42,36","-1,30"
2024-11-14,"43,23","43,38","43,25","-2,97"
2024-11-15,"43,75","43,75","43,65","-2,90"
2024-11-18,"44,56","44,88","44,80","-2,10"
2024-11-19,"44,55","44,76","44,69","-0,98"
2024-11-20,"45,32","45,08","45,24","-1,56"
2024-11-21,"45,44","45,06","45,31","-3,00"
2024-11-22,"45,98","45,94","45,98","-1,04"
2024-11-25,"46,11","46,01","46,08","-1,65"
2024-11-26,"46,11","46,01","46,08","-1,14"
2024-11-27,"47,04","46,00","46,93","0,17"
2024-11-28,"46,77","46,13","46,75","0,49"
2024-11-29,"46,66","46,48","46,54","-1,27"
2024-12-02,"46,54","46,52","46,51","-2,15"
2024-12-03,"46,92","47,22","46,95","-1,60"
2024-12-04,"47,13","47,43","47,32","0,28"
2024-12-05,"46,87","47,47","47,07","0,52"
2024-12-06,"47,02","47,62","47,23","0,75"
2024-12-09,"47,19","46,47","46,71","1,85"
2024-12-10,"47,19","45,97","46,21","0,66"
2024-12-11,"44,75","45,95","45,12","0,43"
2024-12-12,"44,75","45,95","45,12","2,32"
2024-12-13,"44,73","45,94","45,11","3,90"
2024-12-16,"42,23","42,13","42,31","2,04"
2024-12-17,"42,16","41,32","41,77","-0,30"
2024-12-18,"40,23","40,23","40,27","-0,74"
2024-12-19,"40,20","40,20","40,24","-2,84"
2024-12-20,"41,12","40,48","41,05","-3,08"
2025-01-03,"41,12","40,48","41,05","-8,57"
2025-01-06,"41,12","40,48","41,05","-6,28"
2025-01-07,"46,31","40,48","46,31","-1,17"
2025-01-08,"46,48","40,48","46,48","0,92"
2025-01-09,"46,67","46,78","46,74","1,76"
2025-01-10,"44,84","44,82","44,85","-0,16"
2025-01-13,"44,72","44,71","44,75","-3,51"
2025-01-14,"44,54","44,48","44,58","-2,37"
2025-01-15,"45,97","46,04","45,97","-1,04"
2025-01-16,"45,95","46,13","46,09","-0,15"
2025-01-17,"46,03","45,87","45,87","-1,02"
2025-01-20,"45,83","45,89","45,80","-2,05"
2025-01-21,"45,89","46,27","46,00","-4,02"
2025-01-22,"47,03","46,40","46,95","-1,77"
2025-01-23,"47,23","47,88","47,59","-1,53"
